"","Species","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","predictions"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"MALE","Adelie"
"2","Adelie","Torgersen",39.5,17.4,186,3800,"FEMALE","Adelie"
"3","Adelie","Torgersen",40.3,18,195,3250,"FEMALE","Adelie"
"4","Adelie","Torgersen",36.7,19.3,193,3450,"FEMALE","Adelie"
"5","Adelie","Torgersen",39.3,20.6,190,3650,"MALE","Adelie"
"6","Adelie","Torgersen",38.9,17.8,181,3625,"FEMALE","Adelie"
"7","Adelie","Torgersen",39.2,19.6,195,4675,"MALE","Adelie"
"8","Adelie","Torgersen",41.1,17.6,182,3200,"FEMALE","Adelie"
"9","Adelie","Torgersen",38.6,21.2,191,3800,"MALE","Adelie"
"10","Adelie","Torgersen",34.6,21.1,198,4400,"MALE","Adelie"
"11","Adelie","Torgersen",36.6,17.8,185,3700,"FEMALE","Adelie"
"12","Adelie","Torgersen",38.7,19,195,3450,"FEMALE","Adelie"
"13","Adelie","Torgersen",42.5,20.7,197,4500,"MALE","Adelie"
"14","Adelie","Torgersen",34.4,18.4,184,3325,"FEMALE","Adelie"
"15","Adelie","Torgersen",46,21.5,194,4200,"MALE","Adelie"
"16","Adelie","Biscoe",37.8,18.3,174,3400,"FEMALE","Adelie"
"17","Adelie","Biscoe",37.7,18.7,180,3600,"MALE","Adelie"
"18","Adelie","Biscoe",35.9,19.2,189,3800,"FEMALE","Adelie"
"19","Adelie","Biscoe",38.2,18.1,185,3950,"MALE","Adelie"
"20","Adelie","Biscoe",38.8,17.2,180,3800,"MALE","Adelie"
"21","Adelie","Biscoe",35.3,18.9,187,3800,"FEMALE","Adelie"
"22","Adelie","Biscoe",40.6,18.6,183,3550,"MALE","Adelie"
"23","Adelie","Biscoe",40.5,17.9,187,3200,"FEMALE","Adelie"
"24","Adelie","Biscoe",37.9,18.6,172,3150,"FEMALE","Adelie"
"25","Adelie","Biscoe",40.5,18.9,180,3950,"MALE","Adelie"
"26","Adelie","Dream",39.5,16.7,178,3250,"FEMALE","Adelie"
"27","Adelie","Dream",37.2,18.1,178,3900,"MALE","Adelie"
"28","Adelie","Dream",39.5,17.8,188,3300,"FEMALE","Adelie"
"29","Adelie","Dream",40.9,18.9,184,3900,"MALE","Adelie"
"30","Adelie","Dream",36.4,17,195,3325,"FEMALE","Adelie"
"31","Adelie","Dream",39.2,21.1,196,4150,"MALE","Adelie"
"32","Adelie","Dream",38.8,20,190,3950,"MALE","Adelie"
"33","Adelie","Dream",42.2,18.5,180,3550,"FEMALE","Adelie"
"34","Adelie","Dream",37.6,19.3,181,3300,"FEMALE","Adelie"
"35","Adelie","Dream",39.8,19.1,184,4650,"MALE","Adelie"
"36","Adelie","Dream",36.5,18,182,3150,"FEMALE","Adelie"
"37","Adelie","Dream",40.8,18.4,195,3900,"MALE","Adelie"
"38","Adelie","Dream",36,18.5,186,3100,"FEMALE","Adelie"
"39","Adelie","Dream",44.1,19.7,196,4400,"MALE","Adelie"
"40","Adelie","Dream",37,16.9,185,3000,"FEMALE","Adelie"
"41","Adelie","Dream",39.6,18.8,190,4600,"MALE","Adelie"
"42","Adelie","Dream",41.1,19,182,3425,"MALE","Adelie"
"43","Adelie","Dream",36,17.9,190,3450,"FEMALE","Adelie"
"44","Adelie","Dream",42.3,21.2,191,4150,"MALE","Adelie"
"45","Adelie","Biscoe",39.6,17.7,186,3500,"FEMALE","Adelie"
"46","Adelie","Biscoe",40.1,18.9,188,4300,"MALE","Adelie"
"47","Adelie","Biscoe",35,17.9,190,3450,"FEMALE","Adelie"
"48","Adelie","Biscoe",42,19.5,200,4050,"MALE","Adelie"
"49","Adelie","Biscoe",34.5,18.1,187,2900,"FEMALE","Adelie"
"50","Adelie","Biscoe",41.4,18.6,191,3700,"MALE","Adelie"
"51","Adelie","Biscoe",39,17.5,186,3550,"FEMALE","Adelie"
"52","Adelie","Biscoe",40.6,18.8,193,3800,"MALE","Adelie"
"53","Adelie","Biscoe",36.5,16.6,181,2850,"FEMALE","Adelie"
"54","Adelie","Biscoe",37.6,19.1,194,3750,"MALE","Adelie"
"55","Adelie","Biscoe",35.7,16.9,185,3150,"FEMALE","Adelie"
"56","Adelie","Biscoe",41.3,21.1,195,4400,"MALE","Adelie"
"57","Adelie","Biscoe",37.6,17,185,3600,"FEMALE","Adelie"
"58","Adelie","Biscoe",41.1,18.2,192,4050,"MALE","Adelie"
"59","Adelie","Biscoe",36.4,17.1,184,2850,"FEMALE","Adelie"
"60","Adelie","Biscoe",41.6,18,192,3950,"MALE","Adelie"
"61","Adelie","Biscoe",35.5,16.2,195,3350,"FEMALE","Adelie"
"62","Adelie","Biscoe",41.1,19.1,188,4100,"MALE","Adelie"
"63","Adelie","Torgersen",35.9,16.6,190,3050,"FEMALE","Adelie"
"64","Adelie","Torgersen",41.8,19.4,198,4450,"MALE","Adelie"
"65","Adelie","Torgersen",33.5,19,190,3600,"FEMALE","Adelie"
"66","Adelie","Torgersen",39.7,18.4,190,3900,"MALE","Adelie"
"67","Adelie","Torgersen",39.6,17.2,196,3550,"FEMALE","Adelie"
"68","Adelie","Torgersen",45.8,18.9,197,4150,"MALE","Chinstrap"
"69","Adelie","Torgersen",35.5,17.5,190,3700,"FEMALE","Adelie"
"70","Adelie","Torgersen",42.8,18.5,195,4250,"MALE","Adelie"
"71","Adelie","Torgersen",40.9,16.8,191,3700,"FEMALE","Adelie"
"72","Adelie","Torgersen",37.2,19.4,184,3900,"MALE","Adelie"
"73","Adelie","Torgersen",36.2,16.1,187,3550,"FEMALE","Adelie"
"74","Adelie","Torgersen",42.1,19.1,195,4000,"MALE","Adelie"
"75","Adelie","Torgersen",34.6,17.2,189,3200,"FEMALE","Adelie"
"76","Adelie","Torgersen",42.9,17.6,196,4700,"MALE","Adelie"
"77","Adelie","Torgersen",36.7,18.8,187,3800,"FEMALE","Adelie"
"78","Adelie","Torgersen",35.1,19.4,193,4200,"MALE","Adelie"
"79","Adelie","Dream",37.3,17.8,191,3350,"FEMALE","Adelie"
"80","Adelie","Dream",41.3,20.3,194,3550,"MALE","Adelie"
"81","Adelie","Dream",36.3,19.5,190,3800,"MALE","Adelie"
"82","Adelie","Dream",36.9,18.6,189,3500,"FEMALE","Adelie"
"83","Adelie","Dream",38.3,19.2,189,3950,"MALE","Adelie"
"84","Adelie","Dream",38.9,18.8,190,3600,"FEMALE","Adelie"
"85","Adelie","Dream",35.7,18,202,3550,"FEMALE","Adelie"
"86","Adelie","Dream",41.1,18.1,205,4300,"MALE","Adelie"
"87","Adelie","Dream",34,17.1,185,3400,"FEMALE","Adelie"
"88","Adelie","Dream",39.6,18.1,186,4450,"MALE","Adelie"
"89","Adelie","Dream",36.2,17.3,187,3300,"FEMALE","Adelie"
"90","Adelie","Dream",40.8,18.9,208,4300,"MALE","Adelie"
"91","Adelie","Dream",38.1,18.6,190,3700,"FEMALE","Adelie"
"92","Adelie","Dream",40.3,18.5,196,4350,"MALE","Adelie"
"93","Adelie","Dream",33.1,16.1,178,2900,"FEMALE","Adelie"
"94","Adelie","Dream",43.2,18.5,192,4100,"MALE","Adelie"
"95","Adelie","Biscoe",35,17.9,192,3725,"FEMALE","Adelie"
"96","Adelie","Biscoe",41,20,203,4725,"MALE","Adelie"
"97","Adelie","Biscoe",37.7,16,183,3075,"FEMALE","Adelie"
"98","Adelie","Biscoe",37.8,20,190,4250,"MALE","Adelie"
"99","Adelie","Biscoe",37.9,18.6,193,2925,"FEMALE","Adelie"
"100","Adelie","Biscoe",39.7,18.9,184,3550,"MALE","Adelie"
"101","Adelie","Biscoe",38.6,17.2,199,3750,"FEMALE","Adelie"
"102","Adelie","Biscoe",38.2,20,190,3900,"MALE","Adelie"
"103","Adelie","Biscoe",38.1,17,181,3175,"FEMALE","Adelie"
"104","Adelie","Biscoe",43.2,19,197,4775,"MALE","Adelie"
"105","Adelie","Biscoe",38.1,16.5,198,3825,"FEMALE","Adelie"
"106","Adelie","Biscoe",45.6,20.3,191,4600,"MALE","Adelie"
"107","Adelie","Biscoe",39.7,17.7,193,3200,"FEMALE","Adelie"
"108","Adelie","Biscoe",42.2,19.5,197,4275,"MALE","Adelie"
"109","Adelie","Biscoe",39.6,20.7,191,3900,"FEMALE","Adelie"
"110","Adelie","Biscoe",42.7,18.3,196,4075,"MALE","Adelie"
"111","Adelie","Torgersen",38.6,17,188,2900,"FEMALE","Adelie"
"112","Adelie","Torgersen",37.3,20.5,199,3775,"MALE","Adelie"
"113","Adelie","Torgersen",35.7,17,189,3350,"FEMALE","Adelie"
"114","Adelie","Torgersen",41.1,18.6,189,3325,"MALE","Adelie"
"115","Adelie","Torgersen",36.2,17.2,187,3150,"FEMALE","Adelie"
"116","Adelie","Torgersen",37.7,19.8,198,3500,"MALE","Adelie"
"117","Adelie","Torgersen",40.2,17,176,3450,"FEMALE","Adelie"
"118","Adelie","Torgersen",41.4,18.5,202,3875,"MALE","Adelie"
"119","Adelie","Torgersen",35.2,15.9,186,3050,"FEMALE","Adelie"
"120","Adelie","Torgersen",40.6,19,199,4000,"MALE","Adelie"
"121","Adelie","Torgersen",38.8,17.6,191,3275,"FEMALE","Adelie"
"122","Adelie","Torgersen",41.5,18.3,195,4300,"MALE","Adelie"
"123","Adelie","Torgersen",39,17.1,191,3050,"FEMALE","Adelie"
"124","Adelie","Torgersen",44.1,18,210,4000,"MALE","Chinstrap"
"125","Adelie","Torgersen",38.5,17.9,190,3325,"FEMALE","Adelie"
"126","Adelie","Torgersen",43.1,19.2,197,3500,"MALE","Adelie"
"127","Adelie","Dream",36.8,18.5,193,3500,"FEMALE","Adelie"
"128","Adelie","Dream",37.5,18.5,199,4475,"MALE","Adelie"
"129","Adelie","Dream",38.1,17.6,187,3425,"FEMALE","Adelie"
"130","Adelie","Dream",41.1,17.5,190,3900,"MALE","Adelie"
"131","Adelie","Dream",35.6,17.5,191,3175,"FEMALE","Adelie"
"132","Adelie","Dream",40.2,20.1,200,3975,"MALE","Adelie"
"133","Adelie","Dream",37,16.5,185,3400,"FEMALE","Adelie"
"134","Adelie","Dream",39.7,17.9,193,4250,"MALE","Adelie"
"135","Adelie","Dream",40.2,17.1,193,3400,"FEMALE","Adelie"
"136","Adelie","Dream",40.6,17.2,187,3475,"MALE","Adelie"
"137","Adelie","Dream",32.1,15.5,188,3050,"FEMALE","Adelie"
"138","Adelie","Dream",40.7,17,190,3725,"MALE","Adelie"
"139","Adelie","Dream",37.3,16.8,192,3000,"FEMALE","Adelie"
"140","Adelie","Dream",39,18.7,185,3650,"MALE","Adelie"
"141","Adelie","Dream",39.2,18.6,190,4250,"MALE","Adelie"
"142","Adelie","Dream",36.6,18.4,184,3475,"FEMALE","Adelie"
"143","Adelie","Dream",36,17.8,195,3450,"FEMALE","Adelie"
"144","Adelie","Dream",37.8,18.1,193,3750,"MALE","Adelie"
"145","Adelie","Dream",36,17.1,187,3700,"FEMALE","Adelie"
"146","Adelie","Dream",41.5,18.5,201,4000,"MALE","Adelie"
"147","Gentoo","Biscoe",46.1,13.2,211,4500,"FEMALE","Gentoo"
"148","Gentoo","Biscoe",50,16.3,230,5700,"MALE","Gentoo"
"149","Gentoo","Biscoe",48.7,14.1,210,4450,"FEMALE","Gentoo"
"150","Gentoo","Biscoe",50,15.2,218,5700,"MALE","Gentoo"
"151","Gentoo","Biscoe",47.6,14.5,215,5400,"MALE","Gentoo"
"152","Gentoo","Biscoe",46.5,13.5,210,4550,"FEMALE","Gentoo"
"153","Gentoo","Biscoe",45.4,14.6,211,4800,"FEMALE","Gentoo"
"154","Gentoo","Biscoe",46.7,15.3,219,5200,"MALE","Gentoo"
"155","Gentoo","Biscoe",43.3,13.4,209,4400,"FEMALE","Gentoo"
"156","Gentoo","Biscoe",46.8,15.4,215,5150,"MALE","Gentoo"
"157","Gentoo","Biscoe",40.9,13.7,214,4650,"FEMALE","Gentoo"
"158","Gentoo","Biscoe",49,16.1,216,5550,"MALE","Gentoo"
"159","Gentoo","Biscoe",45.5,13.7,214,4650,"FEMALE","Gentoo"
"160","Gentoo","Biscoe",48.4,14.6,213,5850,"MALE","Gentoo"
"161","Gentoo","Biscoe",45.8,14.6,210,4200,"FEMALE","Gentoo"
"162","Gentoo","Biscoe",49.3,15.7,217,5850,"MALE","Gentoo"
"163","Gentoo","Biscoe",42,13.5,210,4150,"FEMALE","Gentoo"
"164","Gentoo","Biscoe",49.2,15.2,221,6300,"MALE","Gentoo"
"165","Gentoo","Biscoe",46.2,14.5,209,4800,"FEMALE","Gentoo"
"166","Gentoo","Biscoe",48.7,15.1,222,5350,"MALE","Gentoo"
"167","Gentoo","Biscoe",50.2,14.3,218,5700,"MALE","Gentoo"
"168","Gentoo","Biscoe",45.1,14.5,215,5000,"FEMALE","Gentoo"
"169","Gentoo","Biscoe",46.5,14.5,213,4400,"FEMALE","Gentoo"
"170","Gentoo","Biscoe",46.3,15.8,215,5050,"MALE","Gentoo"
"171","Gentoo","Biscoe",42.9,13.1,215,5000,"FEMALE","Gentoo"
"172","Gentoo","Biscoe",46.1,15.1,215,5100,"MALE","Gentoo"
"173","Gentoo","Biscoe",47.8,15,215,5650,"MALE","Gentoo"
"174","Gentoo","Biscoe",48.2,14.3,210,4600,"FEMALE","Gentoo"
"175","Gentoo","Biscoe",50,15.3,220,5550,"MALE","Gentoo"
"176","Gentoo","Biscoe",47.3,15.3,222,5250,"MALE","Gentoo"
"177","Gentoo","Biscoe",42.8,14.2,209,4700,"FEMALE","Gentoo"
"178","Gentoo","Biscoe",45.1,14.5,207,5050,"FEMALE","Gentoo"
"179","Gentoo","Biscoe",59.6,17,230,6050,"MALE","Gentoo"
"180","Gentoo","Biscoe",49.1,14.8,220,5150,"FEMALE","Gentoo"
"181","Gentoo","Biscoe",48.4,16.3,220,5400,"MALE","Gentoo"
"182","Gentoo","Biscoe",42.6,13.7,213,4950,"FEMALE","Gentoo"
"183","Gentoo","Biscoe",44.4,17.3,219,5250,"MALE","Gentoo"
"184","Gentoo","Biscoe",44,13.6,208,4350,"FEMALE","Gentoo"
"185","Gentoo","Biscoe",48.7,15.7,208,5350,"MALE","Gentoo"
"186","Gentoo","Biscoe",42.7,13.7,208,3950,"FEMALE","Gentoo"
"187","Gentoo","Biscoe",49.6,16,225,5700,"MALE","Gentoo"
"188","Gentoo","Biscoe",45.3,13.7,210,4300,"FEMALE","Gentoo"
"189","Gentoo","Biscoe",49.6,15,216,4750,"MALE","Gentoo"
"190","Gentoo","Biscoe",50.5,15.9,222,5550,"MALE","Gentoo"
"191","Gentoo","Biscoe",43.6,13.9,217,4900,"FEMALE","Gentoo"
"192","Gentoo","Biscoe",45.5,13.9,210,4200,"FEMALE","Gentoo"
"193","Gentoo","Biscoe",50.5,15.9,225,5400,"MALE","Gentoo"
"194","Gentoo","Biscoe",44.9,13.3,213,5100,"FEMALE","Gentoo"
"195","Gentoo","Biscoe",45.2,15.8,215,5300,"MALE","Gentoo"
"196","Gentoo","Biscoe",46.6,14.2,210,4850,"FEMALE","Gentoo"
"197","Gentoo","Biscoe",48.5,14.1,220,5300,"MALE","Gentoo"
"198","Gentoo","Biscoe",45.1,14.4,210,4400,"FEMALE","Gentoo"
"199","Gentoo","Biscoe",50.1,15,225,5000,"MALE","Gentoo"
"200","Gentoo","Biscoe",46.5,14.4,217,4900,"FEMALE","Gentoo"
"201","Gentoo","Biscoe",45,15.4,220,5050,"MALE","Gentoo"
"202","Gentoo","Biscoe",43.8,13.9,208,4300,"FEMALE","Gentoo"
"203","Gentoo","Biscoe",45.5,15,220,5000,"MALE","Gentoo"
"204","Gentoo","Biscoe",43.2,14.5,208,4450,"FEMALE","Gentoo"
"205","Gentoo","Biscoe",50.4,15.3,224,5550,"MALE","Gentoo"
"206","Gentoo","Biscoe",45.3,13.8,208,4200,"FEMALE","Gentoo"
"207","Gentoo","Biscoe",46.2,14.9,221,5300,"MALE","Gentoo"
"208","Gentoo","Biscoe",45.7,13.9,214,4400,"FEMALE","Gentoo"
"209","Gentoo","Biscoe",54.3,15.7,231,5650,"MALE","Gentoo"
"210","Gentoo","Biscoe",45.8,14.2,219,4700,"FEMALE","Gentoo"
"211","Gentoo","Biscoe",49.8,16.8,230,5700,"MALE","Gentoo"
"212","Gentoo","Biscoe",49.5,16.2,229,5800,"MALE","Gentoo"
"213","Gentoo","Biscoe",43.5,14.2,220,4700,"FEMALE","Gentoo"
"214","Gentoo","Biscoe",50.7,15,223,5550,"MALE","Gentoo"
"215","Gentoo","Biscoe",47.7,15,216,4750,"FEMALE","Gentoo"
"216","Gentoo","Biscoe",46.4,15.6,221,5000,"MALE","Gentoo"
"217","Gentoo","Biscoe",48.2,15.6,221,5100,"MALE","Gentoo"
"218","Gentoo","Biscoe",46.5,14.8,217,5200,"FEMALE","Gentoo"
"219","Gentoo","Biscoe",46.4,15,216,4700,"FEMALE","Gentoo"
"220","Gentoo","Biscoe",48.6,16,230,5800,"MALE","Gentoo"
"221","Gentoo","Biscoe",47.5,14.2,209,4600,"FEMALE","Gentoo"
"222","Gentoo","Biscoe",51.1,16.3,220,6000,"MALE","Gentoo"
"223","Gentoo","Biscoe",45.2,13.8,215,4750,"FEMALE","Gentoo"
"224","Gentoo","Biscoe",45.2,16.4,223,5950,"MALE","Gentoo"
"225","Gentoo","Biscoe",49.1,14.5,212,4625,"FEMALE","Gentoo"
"226","Gentoo","Biscoe",52.5,15.6,221,5450,"MALE","Gentoo"
"227","Gentoo","Biscoe",47.4,14.6,212,4725,"FEMALE","Gentoo"
"228","Gentoo","Biscoe",50,15.9,224,5350,"MALE","Gentoo"
"229","Gentoo","Biscoe",44.9,13.8,212,4750,"FEMALE","Gentoo"
"230","Gentoo","Biscoe",50.8,17.3,228,5600,"MALE","Gentoo"
"231","Gentoo","Biscoe",43.4,14.4,218,4600,"FEMALE","Gentoo"
"232","Gentoo","Biscoe",51.3,14.2,218,5300,"MALE","Gentoo"
"233","Gentoo","Biscoe",47.5,14,212,4875,"FEMALE","Gentoo"
"234","Gentoo","Biscoe",52.1,17,230,5550,"MALE","Gentoo"
"235","Gentoo","Biscoe",47.5,15,218,4950,"FEMALE","Gentoo"
"236","Gentoo","Biscoe",52.2,17.1,228,5400,"MALE","Gentoo"
"237","Gentoo","Biscoe",45.5,14.5,212,4750,"FEMALE","Gentoo"
"238","Gentoo","Biscoe",49.5,16.1,224,5650,"MALE","Gentoo"
"239","Gentoo","Biscoe",44.5,14.7,214,4850,"FEMALE","Gentoo"
"240","Gentoo","Biscoe",50.8,15.7,226,5200,"MALE","Gentoo"
"241","Gentoo","Biscoe",49.4,15.8,216,4925,"MALE","Gentoo"
"242","Gentoo","Biscoe",46.9,14.6,222,4875,"FEMALE","Gentoo"
"243","Gentoo","Biscoe",48.4,14.4,203,4625,"FEMALE","Gentoo"
"244","Gentoo","Biscoe",51.1,16.5,225,5250,"MALE","Gentoo"
"245","Gentoo","Biscoe",48.5,15,219,4850,"FEMALE","Gentoo"
"246","Gentoo","Biscoe",55.9,17,228,5600,"MALE","Gentoo"
"247","Gentoo","Biscoe",47.2,15.5,215,4975,"FEMALE","Gentoo"
"248","Gentoo","Biscoe",49.1,15,228,5500,"MALE","Gentoo"
"249","Gentoo","Biscoe",46.8,16.1,215,5500,"MALE","Gentoo"
"250","Gentoo","Biscoe",41.7,14.7,210,4700,"FEMALE","Gentoo"
"251","Gentoo","Biscoe",53.4,15.8,219,5500,"MALE","Gentoo"
"252","Gentoo","Biscoe",43.3,14,208,4575,"FEMALE","Gentoo"
"253","Gentoo","Biscoe",48.1,15.1,209,5500,"MALE","Gentoo"
"254","Gentoo","Biscoe",50.5,15.2,216,5000,"FEMALE","Gentoo"
"255","Gentoo","Biscoe",49.8,15.9,229,5950,"MALE","Gentoo"
"256","Gentoo","Biscoe",43.5,15.2,213,4650,"FEMALE","Gentoo"
"257","Gentoo","Biscoe",51.5,16.3,230,5500,"MALE","Gentoo"
"258","Gentoo","Biscoe",46.2,14.1,217,4375,"FEMALE","Gentoo"
"259","Gentoo","Biscoe",55.1,16,230,5850,"MALE","Gentoo"
"260","Gentoo","Biscoe",48.8,16.2,222,6000,"MALE","Gentoo"
"261","Gentoo","Biscoe",47.2,13.7,214,4925,"FEMALE","Gentoo"
"262","Gentoo","Biscoe",46.8,14.3,215,4850,"FEMALE","Gentoo"
"263","Gentoo","Biscoe",50.4,15.7,222,5750,"MALE","Gentoo"
"264","Gentoo","Biscoe",45.2,14.8,212,5200,"FEMALE","Gentoo"
"265","Gentoo","Biscoe",49.9,16.1,213,5400,"MALE","Gentoo"
"266","Chinstrap","Dream",46.5,17.9,192,3500,"FEMALE","Chinstrap"
"267","Chinstrap","Dream",50,19.5,196,3900,"MALE","Chinstrap"
"268","Chinstrap","Dream",51.3,19.2,193,3650,"MALE","Chinstrap"
"269","Chinstrap","Dream",45.4,18.7,188,3525,"FEMALE","Chinstrap"
"270","Chinstrap","Dream",52.7,19.8,197,3725,"MALE","Chinstrap"
"271","Chinstrap","Dream",45.2,17.8,198,3950,"FEMALE","Chinstrap"
"272","Chinstrap","Dream",46.1,18.2,178,3250,"FEMALE","Chinstrap"
"273","Chinstrap","Dream",51.3,18.2,197,3750,"MALE","Chinstrap"
"274","Chinstrap","Dream",46,18.9,195,4150,"FEMALE","Chinstrap"
"275","Chinstrap","Dream",51.3,19.9,198,3700,"MALE","Chinstrap"
"276","Chinstrap","Dream",46.6,17.8,193,3800,"FEMALE","Chinstrap"
"277","Chinstrap","Dream",51.7,20.3,194,3775,"MALE","Chinstrap"
"278","Chinstrap","Dream",47,17.3,185,3700,"FEMALE","Chinstrap"
"279","Chinstrap","Dream",52,18.1,201,4050,"MALE","Chinstrap"
"280","Chinstrap","Dream",45.9,17.1,190,3575,"FEMALE","Chinstrap"
"281","Chinstrap","Dream",50.5,19.6,201,4050,"MALE","Chinstrap"
"282","Chinstrap","Dream",50.3,20,197,3300,"MALE","Chinstrap"
"283","Chinstrap","Dream",58,17.8,181,3700,"FEMALE","Chinstrap"
"284","Chinstrap","Dream",46.4,18.6,190,3450,"FEMALE","Chinstrap"
"285","Chinstrap","Dream",49.2,18.2,195,4400,"MALE","Chinstrap"
"286","Chinstrap","Dream",42.4,17.3,181,3600,"FEMALE","Chinstrap"
"287","Chinstrap","Dream",48.5,17.5,191,3400,"MALE","Chinstrap"
"288","Chinstrap","Dream",43.2,16.6,187,2900,"FEMALE","Chinstrap"
"289","Chinstrap","Dream",50.6,19.4,193,3800,"MALE","Chinstrap"
"290","Chinstrap","Dream",46.7,17.9,195,3300,"FEMALE","Chinstrap"
"291","Chinstrap","Dream",52,19,197,4150,"MALE","Chinstrap"
"292","Chinstrap","Dream",50.5,18.4,200,3400,"FEMALE","Chinstrap"
"293","Chinstrap","Dream",49.5,19,200,3800,"MALE","Chinstrap"
"294","Chinstrap","Dream",46.4,17.8,191,3700,"FEMALE","Chinstrap"
"295","Chinstrap","Dream",52.8,20,205,4550,"MALE","Chinstrap"
"296","Chinstrap","Dream",40.9,16.6,187,3200,"FEMALE","Chinstrap"
"297","Chinstrap","Dream",54.2,20.8,201,4300,"MALE","Chinstrap"
"298","Chinstrap","Dream",42.5,16.7,187,3350,"FEMALE","Chinstrap"
"299","Chinstrap","Dream",51,18.8,203,4100,"MALE","Chinstrap"
"300","Chinstrap","Dream",49.7,18.6,195,3600,"MALE","Chinstrap"
"301","Chinstrap","Dream",47.5,16.8,199,3900,"FEMALE","Chinstrap"
"302","Chinstrap","Dream",47.6,18.3,195,3850,"FEMALE","Chinstrap"
"303","Chinstrap","Dream",52,20.7,210,4800,"MALE","Chinstrap"
"304","Chinstrap","Dream",46.9,16.6,192,2700,"FEMALE","Chinstrap"
"305","Chinstrap","Dream",53.5,19.9,205,4500,"MALE","Chinstrap"
"306","Chinstrap","Dream",49,19.5,210,3950,"MALE","Chinstrap"
"307","Chinstrap","Dream",46.2,17.5,187,3650,"FEMALE","Chinstrap"
"308","Chinstrap","Dream",50.9,19.1,196,3550,"MALE","Chinstrap"
"309","Chinstrap","Dream",45.5,17,196,3500,"FEMALE","Chinstrap"
"310","Chinstrap","Dream",50.9,17.9,196,3675,"FEMALE","Chinstrap"
"311","Chinstrap","Dream",50.8,18.5,201,4450,"MALE","Chinstrap"
"312","Chinstrap","Dream",50.1,17.9,190,3400,"FEMALE","Chinstrap"
"313","Chinstrap","Dream",49,19.6,212,4300,"MALE","Chinstrap"
"314","Chinstrap","Dream",51.5,18.7,187,3250,"MALE","Chinstrap"
"315","Chinstrap","Dream",49.8,17.3,198,3675,"FEMALE","Chinstrap"
"316","Chinstrap","Dream",48.1,16.4,199,3325,"FEMALE","Chinstrap"
"317","Chinstrap","Dream",51.4,19,201,3950,"MALE","Chinstrap"
"318","Chinstrap","Dream",45.7,17.3,193,3600,"FEMALE","Chinstrap"
"319","Chinstrap","Dream",50.7,19.7,203,4050,"MALE","Chinstrap"
"320","Chinstrap","Dream",42.5,17.3,187,3350,"FEMALE","Chinstrap"
"321","Chinstrap","Dream",52.2,18.8,197,3450,"MALE","Chinstrap"
"322","Chinstrap","Dream",45.2,16.6,191,3250,"FEMALE","Chinstrap"
"323","Chinstrap","Dream",49.3,19.9,203,4050,"MALE","Chinstrap"
"324","Chinstrap","Dream",50.2,18.8,202,3800,"MALE","Chinstrap"
"325","Chinstrap","Dream",45.6,19.4,194,3525,"FEMALE","Chinstrap"
"326","Chinstrap","Dream",51.9,19.5,206,3950,"MALE","Chinstrap"
"327","Chinstrap","Dream",46.8,16.5,189,3650,"FEMALE","Chinstrap"
"328","Chinstrap","Dream",45.7,17,195,3650,"FEMALE","Chinstrap"
"329","Chinstrap","Dream",55.8,19.8,207,4000,"MALE","Chinstrap"
"330","Chinstrap","Dream",43.5,18.1,202,3400,"FEMALE","Chinstrap"
"331","Chinstrap","Dream",49.6,18.2,193,3775,"MALE","Chinstrap"
"332","Chinstrap","Dream",50.8,19,210,4100,"MALE","Chinstrap"
"333","Chinstrap","Dream",50.2,18.7,198,3775,"FEMALE","Chinstrap"
